#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
345.0037820868301 89.0 97.0 105.0 
346.55653242838554 92.0 96.0 98.0 
348.02162311589785 90.0 96.0 102.0 
349.5126851788823 90.0 101.0 107.0 
351.0028248097726 107.0 93.0 102.0 
352.5082136748895 103.0 83.0 106.0 
354.0143734804115 98.0 87.0 104.0 
355.52860934475916 100.0 87.0 109.0 
357.02006401282136 106.0 93.0 114.0 
358.5230438424851 109.0 95.0 106.0 
360.00736411192486 111.0 92.0 100.0 
361.5121265432349 109.0 91.0 100.0 
363.0020666563667 104.0 90.0 101.0 
364.5109517961961 108.0 84.0 97.0 
366.0498490830203 110.0 90.0 98.0 
367.50256090666016 110.0 88.0 101.0 
369.0320230096854 108.0 97.0 95.0 
370.50090668818547 120.0 105.0 99.0 
372.0145781146471 112.0 104.0 93.0 
373.5200036195913 109.0 108.0 90.0 
375.0285098038147 107.0 106.0 92.0 
376.514222064601 103.0 106.0 94.0 
378.00369478106404 99.0 105.0 100.0 
379.5073729051923 101.0 106.0 99.0 
381.0121953932992 98.0 106.0 99.0 
382.5216305884936 103.0 107.0 99.0 
384.0167352289197 111.0 106.0 92.0 
385.5154275825819 111.0 104.0 95.0 
387.007658485124 114.0 106.0 92.0 
388.5478414299011 126.0 100.0 102.0 
390.0156434031613 118.0 98.0 105.0 
391.5024659657152 107.0 104.0 106.0 
393.01474049326316 106.0 109.0 99.0 
394.5037324162276 100.0 107.0 109.0 
396.0041264261886 101.0 103.0 100.0 
397.51358863480266 98.0 107.0 109.0 
399.01370943152864 102.0 118.0 104.0 
400.5143608334635 108.0 119.0 101.0 
402.0181317332008 113.0 116.0 103.0 
403.5130891154971 107.0 120.0 94.0 
405.01752161815165 106.0 114.0 98.0 
406.51434034047406 95.0 109.0 102.0 
408.0071306337251 90.0 114.0 94.0 
409.52991276604484 97.0 112.0 89.0 
411.0306871141114 95.0 107.0 87.0 
412.5076939808411 94.0 111.0 92.0 
414.04537908976744 97.0 110.0 98.0 
415.52150373287753 102.0 114.0 98.0 
417.0056328159743 115.0 112.0 93.0 
418.50208169201204 116.0 115.0 93.0 
420.01476403849796 115.0 113.0 96.0 
421.52924968719776 110.0 119.0 100.0 
423.01170142662454 109.0 110.0 105.0 
424.5035185096904 107.0 108.0 104.0 
426.001836692027 102.0 114.0 102.0 
427.500793436972 116.0 121.0 107.0 
429.01823492409557 111.0 114.0 98.0 
430.5675479775357 102.0 110.0 88.0 
432.0042703040041 105.0 114.0 90.0 
433.5201484127567 97.0 121.0 88.0 
435.073385846192 96.0 121.0 90.0 
